id;id_historia_academica;cedula_estudiante;id_semestre;codigo_programa;promedio_acomulado;promedio_semestre;id_tercio;situation_academica;state_semestre
1;48052;Increible Savings;90735;54626;47914;64587;27796;70067;70329
2;9060;Respuesta presupuestaria;45371;13371;36161;62210;79821;64722;57132
3;48560;COM;81254;76579;79879;68884;13815;70339;21069
4;73303;Asociado Borders deposit;26563;88504;58792;54760;49472;66386;1934
5;96252;Partida Sorprendente Coordinador;94198;52042;69522;9443;52476;10844;7059
6;29814;scalable Violeta payment;87417;40731;33026;82045;2323;24767;66117
7;66370;Holanda;97854;56525;71163;52152;17049;85225;60919
8;3015;Persistente;66188;76763;16556;98304;31670;41250;66799
9;36476;amplio;44349;30768;19746;63654;86405;20216;93910
10;75087;applications Gran;44019;28183;86087;66550;54759;76546;40839
