id;id_solicitud;codigo_materia;id_semestre_pasada;nota_definitiva;cedula_estufiante
1;31756;83155;52020;31497;Castilla-La system
2;77744;72395;90721;93252;Hecho whiteboard microchip
3;31748;21817;3302;49125;Chipre cross-platform
4;98073;20863;99786;2410;bypassing
5;96828;25446;66596;88978;plug-and-play
6;92443;34695;21445;26242;política interface
7;130;7470;37941;57769;Madera
8;51373;73420;50956;54838;Adelante Grecia
9;6222;96632;20617;11631;Coordinador Videojuegos redundant
10;99255;3267;6988;7222;Madrid Account Hormigon
